"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DKPART";"MFR";"MFRPART";"PROD_ID";"REV";"SF_SKU";"VALUE";
"S2";"DNP";"MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE";"TACTILE_SWITCH_PTH_RIGHT_ANGLE";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"CONN-10672";"";"COM-10791";"";
"S3";"User";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-14139";"";"";"";
"S4";"DNP";"MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE";"TACTILE_SWITCH_PTH_RIGHT_ANGLE";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"CONN-10672";"";"COM-10791";"";
"TP1";"I2C_SCK";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"TP2";"I2C_SDA";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"TP4";"MCLK";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"TP5";"SWDIO/TMS";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"TP6";"SWCK/TCK";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"TP7";"TDO";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"TP8";"TDI";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"TP9";"NRESET";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";
"U1";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"VREG-08170";"";"";"";
"U3";"ATSAMS70N20A-AN";"ATSAMS70NXXA-AN";"LQFP100";"Atmel SAMS70N20A-AN ARM-Based Microcontroller";"";"";"";"";"IC-13238";"";"";"";
"U4";"LMV324";"LMV324";"SO14";"IC LMV324 Quad Op Amp";"";"";"";"";"IC-08227";"";"";"LMV324";
"U5";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"VREG-08170";"";"";"";
"U6";"6N138M";"OPTO_DARL_6N138S";"8-SMD";"Optoisolator, darlington pair output";"";"";"";"";"IC-09482";"";"";"6N138M";
"U7";"ADAU1328";"ADAU1328";"LQFP-48";"";"";"";"";"";"IC-16007";"";"";"";
"U8";"74AHC1G125W5-7";"741G12574AHC1G125W5-7";"SOT23-5";"Single buffer";"";"";"";"";"IC-16588";"";"";"74AHC1G125W5-7";
"Y1";"11.2896 MHz";"CRYSTAL-11.2896";"CRYSTAL-OSC-SMD-5X3";"SparkFun Products";"";"887-2353-1-ND";"txc";"7B-11.2896MAAE-T";"XTAL-13463";"";"";"11.2896 MHz";
