"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DESIGNER";"DIGIKEY_PART";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MANU_PART";"MOUSER_PART";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSE_PART";"PROD_ID";"REV";"SF_ID";"VALUE";
"Q10";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C00UNTL";"SOT-416FL";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-14399";"";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"R1";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R2";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"";"5.1k";
"R3";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"";"5.1k";
"R4";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R5";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R6";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";
"R7";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R8";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"3.3kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07851";"";"";"3.3k";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"10k";
"R10";"20k";"20KOHM-0603-1/10W-1%";"0603";"20kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09383";"";"";"20k";
"R11";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R12";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R13";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R14";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R15";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R16";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R17";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R18";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R19";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R20";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R21";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R22";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R23";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"10k";
"R24";"10";"10OHM-0603-1/10W-1%";"0603";"10Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12581";"";"";"10";
"R25";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R26";"200k";"200KOHM-0603-1/10W-1%";"0603";"200kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09385";"";"";"200k";
"R27";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R28";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R29";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R30";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"R31";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08609";"";"";"0";
"R32";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R33";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07863";"";"";"100";
"R34";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R35";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07869";"";"";"470";
"R36";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08609";"";"";"0";
"R37";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08609";"";"";"0";
"R38";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R39";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R40";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R41";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R42";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R43";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"R44";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R45";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"R48";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"";"2.2k";
"S1";"RESET";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-14139";"";"";"";
"S2";"BOOT";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-14139";"";"";"";
"S3";"SARA_PWR";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-14139";"";"";"";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP5";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP6";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP7";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP8";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP9";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP10";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP12";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP13";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP14";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP15";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP16";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP17";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP18";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP19";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP20";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP21";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP22";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP23";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP24";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"SARA-R510M8S";"SARA-R510M8S";"SARA-LGA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-15573";"";"";"SARA-R510M8S";
"U2";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-09995";"";"";"";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-12457";"";"";"3.3V";
"U4";"MAX17048";"MAX17048DFN8";"DFN-8";"Micropower 1-Cell Li+ ModelGauge";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-12551";"";"";"MAX17048";
"U5";"AP7361C-33FGE";"AP7361C-33FGEUDFN-8";"UDFN-8";"AP7361C 3.3V LDO Regulator";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-14094";"";"";"";
"U7";"PCA9306";"PCA9306VSSOP_8PIN";"VSSOP_8PIN";"Bidirectional I2C level shifter";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-14450";"";"";"";
"U8";"74HC1G04";"74HC1G04";"SOT353";"Single Inverter";"";"";"";"";"";"";"";"";"";"";"";"";"";"COMP-08268";"";"";"74HC1G04";
"U13";"9DoF IMU";"ICM-20948";"QFN24-3X3-ICM-20948";"ICM-20948 9 Degree of Freedom IMU";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-14247";"";"";"9DoF IMU";
"U14";"1.8V/100mA";"V_REG_SP6214-1.8V";"SC70";"Voltage Regulator - SP6214";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-08428";"";"";"1.8V/100mA";
"VE";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"VIN/3";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"VIN_LED";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
